TIME,Process_69a,Process_69b,Process_96-97a,Process_96-97b,Process_131a,Process_131b,Process_131c,Process_131d,Process_131e,Process_131f,Process_131g,Process_131h,Process_131i,Process_131j
150,182.72205,185.46022,210.6427,203.7127,181.78482,174.21477,169.1916,166.54295,159.10625,162.99953,150.09032,140.10344,135.18854,131.03874
151,182.29572,185.48257,210.6317,203.6536,181.76355,174.21071,169.17361,166.53381,159.13712,163.00081,150.06001,140.07169,135.17064,131.0387
152,181.90256,185.71674,210.6201,203.6106,181.77008,174.23415,169.17393,166.58835,159.12563,163.04402,150.06802,140.04315,135.18483,131.07243
153,181.91643,186.34094,210.596,203.5816,181.76726,174.22768,169.17252,166.57832,159.13626,163.04475,150.10616,140.03447,135.18465,131.11374
154,182.31705,186.95145,210.5953,203.5541,181.74142,174.19458,169.17014,166.57265,159.14925,163.01466,150.10194,140.00865,135.19847,131.14586
155,182.76099,187.56633,210.5291,203.4941,181.73242,174.23161,169.17012,166.571,159.12038,163.03178,150.12288,140.03456,135.23656,131.18462
156,182.8604,187.79248,210.5442,203.5376,181.74156,174.2066,169.1687,166.56897,159.13261,162.96941,150.13739,140.03017,135.18755,131.16936
157,182.82062,187.44144,210.6036,203.5443,181.73328,174.1967,169.16064,166.55661,159.14,162.97128,150.09164,140.03647,135.21269,131.19365
158,182.97771,187.01077,210.4388,203.406,181.77463,174.21483,169.18974,166.57196,159.14293,162.95802,150.0914,140.04272,135.20892,131.19867
159,183.46359,186.69392,210.4105,203.3898,181.73021,174.21011,169.19594,166.55899,159.1416,162.90297,150.13177,139.99687,135.1757,131.18602
160,183.83717,186.31905,210.3612,203.3683,181.7655,174.26567,169.19685,166.58084,159.14209,162.95447,150.12227,140.03906,135.24731,131.24466
161,183.76157,185.68443,210.3034,203.3184,181.75183,174.21855,169.21925,166.55031,159.14679,162.95045,150.093,140.00537,135.19713,131.17865
162,183.4593,185.15987,210.2934,203.3307,181.70927,174.17039,169.19363,166.51222,159.071,162.88078,150.05771,139.98,135.18277,131.13959
163,183.3313,185.03612,210.2644,203.3065,181.76331,174.2057,169.20508,166.50887,159.06984,162.89766,150.07913,140.01962,135.19919,131.10289
164,183.06689,185.1627,210.1777,203.2517,181.71126,174.15556,169.202,166.4399,159.0076,162.84814,150.03152,139.9753,135.15364,131.07248
165,182.73073,185.43762,210.1851,203.236,181.69344,174.19061,169.17798,166.43748,159.02055,162.87517,150.02267,139.97284,135.12091,131.10222
166,182.29521,185.94684,210.1397,203.2293,181.72731,174.13646,169.19489,166.43196,158.97107,162.8466,150.01823,139.98833,135.09706,131.04723
167,182.32814,186.53323,210.104,203.2492,181.75443,174.17638,169.22083,166.43201,158.99765,162.83333,150.03717,140.01289,135.12035,131.07454
168,182.56236,187.04207,210.0968,203.2569,181.75949,174.20312,169.22055,166.37682,158.97054,162.83694,149.9843,140.01086,135.07344,131.04111
169,182.85959,187.24615,210.0499,203.2397,181.73949,174.20287,169.21664,166.35178,158.93306,162.79622,149.95139,139.97173,135.0645,131.01053
170,183.2961,187.3029,210.0253,203.2955,181.72975,174.24181,169.19325,166.34439,158.90135,162.81454,149.91502,139.98367,135.06754,130.98241
171,183.0789,186.76929,209.9835,203.3129,181.74564,174.25943,169.25806,166.36668,158.85725,162.78484,149.91586,140.02132,135.06772,130.95973
172,183.27533,186.46548,209.9557,203.3426,181.66173,174.24144,169.20982,166.32494,158.83057,162.75958,149.87788,140.00723,135.0603,130.97475
173,183.75928,186.10938,209.9316,203.3861,181.69942,174.25916,169.22318,166.33621,158.83994,162.78224,149.88742,140.06819,135.0444,130.94052
174,184.01253,185.74564,209.9275,203.4337,181.67178,174.25557,169.26996,166.30722,158.82478,162.77652,149.87485,140.00662,135.04393,130.97231
175,183.60881,185.56575,209.9077,203.4709,181.61465,174.27689,169.24847,166.29918,158.81427,162.78378,149.83829,140.01508,135.06209,130.96637
176,183.21652,185.27051,209.8958,203.5094,181.60837,174.2726,169.23984,166.31975,158.77414,162.7238,149.80106,139.97934,135.04745,130.89378
177,183.10341,185.14949,209.9252,203.5541,181.57089,174.29774,169.27441,166.26524,158.74367,162.71471,149.7858,139.96967,135.0247,130.89032
178,183.0779,185.0508,209.9324,203.5481,181.57944,174.29543,169.24138,166.23187,158.73312,162.68886,149.7561,139.95256,134.98566,130.8589
179,182.95113,185.16042,209.9154,203.5425,181.58148,174.30261,169.22197,166.24338,158.75516,162.71442,149.70865,139.93768,135.00691,130.88118
180,182.40282,185.76436,210.0261,203.6472,181.60597,174.30554,169.19543,166.26329,158.73952,162.71497,149.67116,139.90959,135.00867,130.8548
181,182.12044,186.45573,210.02,203.6621,181.63771,174.30568,169.22557,166.29413,158.70665,162.69235,149.6635,139.91106,134.98425,130.85847
182,182.60016,186.85258,210.024,203.6536,181.5802,174.2411,169.2269,166.29582,158.68867,162.68176,149.62062,139.89288,134.96165,130.8089
183,183.01807,186.95369,210.0795,203.6953,181.65176,174.27803,169.285,166.30072,158.70821,162.69395,149.63188,139.89232,134.98041,130.87271
184,183.27228,186.73972,210.1351,203.729,181.65979,174.28535,169.24986,166.28069,158.73959,162.66888,149.64128,139.87801,134.98045,130.86996
185,183.48863,186.59512,210.1442,203.7428,181.67175,174.24376,169.22432,166.24295,158.6813,162.59836,149.61794,139.82771,134.91719,130.82227
186,183.48662,186.25204,210.2018,203.7847,181.66107,174.28807,169.26572,166.25282,158.68616,162.61823,149.67502,139.83679,134.92029,130.8709
187,183.83394,185.87997,210.2159,203.8004,181.62634,174.28531,169.24388,166.24875,158.64368,162.56267,149.65704,139.85522,134.84282,130.81766
188,183.98126,185.51562,210.2404,203.81,181.67969,174.30252,169.25246,166.30504,158.7149,162.60825,149.68506,139.88332,134.88487,130.82953
189,183.60741,185.42908,210.271,203.8566,181.68633,174.32503,169.21443,166.32462,158.70834,162.61266,149.69357,139.9469,134.8577,130.83965
190,183.09322,185.68446,210.2872,203.8893,181.66829,174.32497,169.23824,166.30931,158.71924,162.58589,149.68578,139.93828,134.86972,130.74654
191,183.32021,185.93997,210.3351,203.9112,181.69777,174.28976,169.27628,166.35739,158.7182,162.59932,149.68597,139.97177,134.855,130.77808
192,183.27977,185.47893,210.3777,203.9417,181.69583,174.28514,169.2943,166.38702,158.73033,162.61143,149.72385,140.04921,134.92343,130.77884
193,182.88121,185.20497,210.362,203.945,181.68861,174.21921,169.27303,166.36703,158.70215,162.58318,149.72632,140.00737,134.88535,130.78177
194,182.64128,185.59468,210.4143,203.9838,181.66245,174.17165,169.27803,166.38779,158.7056,162.58665,149.76414,139.95984,134.90253,130.82925
195,182.63493,185.99426,210.4591,204.0299,181.60347,174.13315,169.25218,166.35258,158.75972,162.61475,149.74203,140.00128,134.93184,130.82349
196,182.88986,186.41086,210.4949,204.0526,181.65639,174.08214,169.25034,166.37538,158.79884,162.62125,149.75975,140.02473,134.98085,130.81863
197,183.17734,186.59808,210.5243,204.106,181.64122,174.03114,169.26559,166.41629,158.82042,162.67285,149.76767,140.00529,134.953,130.79131
198,183.32053,186.6337,210.587,204.1481,181.61537,174.02528,169.2347,166.35588,158.85289,162.70093,149.75098,139.98592,134.92943,130.80779
199,183.56136,186.58029,210.645,204.1933,181.61803,174.01083,169.29424,166.37732,158.86671,162.71652,149.77869,139.97449,134.95799,130.85835
200,183.96745,186.40518,210.6836,204.217,181.58736,174.02536,169.17456,166.35472,158.84146,162.73438,149.72639,139.88434,134.92964,130.79871
201,184.23276,185.9832,210.7286,204.235,181.56741,174.03552,169.20981,166.41847,158.84843,162.73042,149.70781,139.88319,134.93159,130.84271
202,184.24013,185.72971,210.7746,204.2816,181.60396,174.01434,169.18759,166.41571,158.81783,162.70793,149.71071,139.90227,134.91893,130.86052
203,183.93681,185.74286,210.7792,204.2869,181.54622,174.01199,169.19273,166.40431,158.77135,162.71997,149.74362,139.83318,134.90622,130.86617
204,183.84421,186.11668,210.8633,204.3448,181.56108,174.03101,169.11913,166.3949,158.72766,162.73737,149.6636,139.77136,134.85564,130.82773
205,183.50197,186.61087,210.9055,204.3991,181.57916,174.03935,169.13025,166.40384,158.73515,162.68306,149.72835,139.72925,134.8244,130.88676
206,182.88625,186.40648,210.95,204.3985,181.53624,174.02788,169.05357,166.34854,158.69841,162.66826,149.71806,139.71339,134.81487,130.91379
207,182.61629,185.85938,210.9975,204.4087,181.51733,174.01944,169.00005,166.36104,158.66608,162.64323,149.71867,139.63803,134.78215,130.9673
208,182.63982,185.50868,211.0505,204.4559,181.48549,174.03566,168.98654,166.40965,158.67636,162.63889,149.75162,139.63927,134.80498,130.96484
209,183.02061,185.57341,211.1855,204.4848,181.48598,174.01794,168.98689,166.3515,158.69785,162.6539,149.68922,139.63092,134.80475,130.96307
210,183.33548,185.94551,211.2201,204.4891,181.49426,174.01541,169.0168,166.35187,158.71744,162.72275,149.73009,139.64261,134.83813,130.97116
211,183.38292,186.06009,211.2705,204.5461,181.52234,174.05356,169.10773,166.4133,158.7262,162.74365,149.80434,139.63512,134.86098,131.00226
212,183.58047,186.19228,211.2509,204.5294,181.49413,174.02283,169.09178,166.39407,158.71973,162.75784,149.78612,139.62723,134.91698,131.0032
213,183.99603,186.35188,211.2622,204.5064,181.53004,174.00964,169.08969,166.40813,158.71104,162.69241,149.81874,139.5956,134.85806,131.02167
214,184.24785,186.42625,211.3118,204.5167,181.48257,174.02014,169.09804,166.4263,158.7318,162.75381,149.87744,139.64003,134.9257,131.0517
215,184.3495,186.3246,211.392,204.5637,181.52626,174.00067,169.16211,166.43512,158.73943,162.69792,149.90239,139.60532,134.93929,131.02548
216,184.35406,186.20535,211.4124,204.5178,181.51624,174.02046,169.16573,166.44032,158.752,162.74368,149.92001,139.61626,134.94386,131.01027
217,184.1813,186.31735,211.451,204.5064,181.49989,174.01402,169.15926,166.43118,158.77577,162.74857,149.93484,139.65187,134.92752,131.06252
218,183.53217,186.62703,211.493,204.4712,181.49933,174.02402,169.18709,166.4025,158.80983,162.75331,149.93414,139.68457,134.92642,131.06053
219,183.04961,186.90863,211.5436,204.4426,181.50085,174.06775,169.22639,166.41966,158.84711,162.7771,149.93219,139.63586,134.95723,131.11212
220,183.05939,186.77513,211.5755,204.4209,181.50856,174.05063,169.23428,166.40175,158.89607,162.78494,149.94243,139.63354,135.01315,131.10251
221,183.38876,186.01505,211.6098,204.3787,181.50766,174.02417,169.26361,166.42139,158.93378,162.80623,149.93298,139.62128,135.03123,131.10847
222,183.62161,185.42581,211.6228,204.3235,181.52567,174.02736,169.29733,166.38461,158.9725,162.79257,149.95633,139.61116,135.01982,131.10037
223,183.24538,184.94644,211.6405,204.233,181.51199,173.96031,169.25533,166.35689,159.01703,162.83025,149.91917,139.60387,135.07698,131.16898
224,183.06642,185.17331,211.6561,204.2361,181.59758,174.0367,169.27434,166.42247,159.09424,162.83969,149.95404,139.61856,135.06126,131.21587
225,183.31427,185.62108,211.6473,204.1671,181.57175,174.0345,169.24928,166.39996,159.10841,162.87915,149.95448,139.61807,135.08252,131.20432
226,183.65372,186.10744,211.6824,204.1453,181.56862,173.99373,169.19232,166.40614,159.16747,162.89218,149.91502,139.65166,135.08905,131.2597
227,184.03206,186.43336,211.6948,204.1014,181.57687,174.02855,169.14091,166.38913,159.18124,162.90335,149.94194,139.6405,135.07944,131.29939
228,184.57303,186.79634,211.6849,204.1014,181.56799,174.03641,169.09917,166.34958,159.20084,162.96617,149.96231,139.65918,135.10214,131.30757
229,184.68604,186.91484,211.6886,204.0729,181.61078,174.04431,169.09529,166.35271,159.23601,162.98759,149.965,139.70657,135.12495,131.35571
230,184.1022,186.79956,211.6676,204.0657,181.5818,174.04008,169.08374,166.33855,159.23961,162.95518,149.95111,139.66534,135.13759,131.34178
231,183.62425,186.84398,211.6246,203.9985,181.61963,174.05417,169.09102,166.33766,159.26517,162.99725,149.92903,139.6971,135.10577,131.39899
232,182.90456,186.89926,211.5963,203.9975,181.61725,174.0609,169.11131,166.34741,159.30449,162.9995,149.97057,139.72495,135.12869,131.44733
233,183.26706,187.23033,211.5494,203.9791,181.61324,174.07278,169.08456,166.34412,159.30986,163.01942,149.9178,139.75261,135.13914,131.485
234,183.5377,187.18607,211.4629,203.9499,181.61497,174.08159,169.11456,166.3369,159.31541,163.00874,149.92494,139.70299,135.12523,131.49876
235,183.1971,186.54944,211.4273,203.9206,181.57867,174.05457,169.0905,166.32976,159.28175,163.03123,149.9416,139.69641,135.13324,131.534
236,182.83685,185.46013,211.3873,203.928,181.61522,174.08488,169.11974,166.30713,159.31441,162.99289,149.92606,139.69707,135.15457,131.46497
237,182.89125,184.88513,211.331,203.9179,181.61533,174.07552,169.10162,166.3107,159.30742,162.97472,149.89119,139.67938,135.14386,131.4514
238,183.00552,184.88695,211.2714,203.8869,181.63927,174.09702,169.12056,166.32765,159.30951,162.99208,149.88261,139.69417,135.12392,131.51495
239,183.2699,185.29198,211.2247,203.8555,181.65034,174.0762,169.11674,166.30247,159.31949,163.01878,149.88622,139.71713,135.11511,131.55946
240,184.01016,186.09526,211.2016,203.8273,181.65887,174.09721,169.08446,166.33316,159.30045,162.9724,149.89844,139.7193,135.11937,131.58261
241,184.87695,186.74161,211.1263,203.8172,181.66447,174.10718,169.07321,166.31563,159.28012,162.97993,149.88049,139.70493,135.05072,131.56924
242,184.88657,187.13184,211.075,203.7908,181.70656,174.11446,169.09238,166.32314,159.28275,162.96773,149.87668,139.73582,135.02155,131.56522
243,184.39163,187.54033,210.9954,203.7399,181.64029,174.11696,169.05447,166.26474,159.27803,162.95833,149.85626,139.78406,135.00789,131.54611
244,184.14619,187.77034,210.946,203.7223,181.64433,174.12892,169.05043,166.25468,159.25363,162.94707,149.81268,139.7854,134.9971,131.51454
245,183.99783,187.98802,210.8664,203.6967,181.69276,174.09683,169.07643,166.23024,159.2446,162.92407,149.85094,139.76471,134.95268,131.4826
246,184.03781,187.89928,210.8484,203.6828,181.61349,174.14178,168.99989,166.19054,159.15961,162.88971,149.78242,139.74194,134.92931,131.47563
247,183.8987,188.00317,210.8105,203.6997,181.66832,174.18234,168.99307,166.24251,159.18401,162.89342,149.84558,139.81117,134.9216,131.52197
248,183.33914,187.95645,210.7609,203.6871,181.7063,174.20628,169.00899,166.22733,159.16711,162.90173,149.84236,139.82567,134.94122,131.50591
249,182.79288,187.48773,210.6797,203.6928,181.68896,174.19727,168.96234,166.2213,159.12694,162.89124,149.79327,139.78171,134.89635,131.45807
250,182.93884,186.61739,210.6176,203.6804,181.74173,174.20708,169.03073,166.26906,159.10217,162.83803,149.85757,139.7865,134.87357,131.41498
251,183.10123,185.7263,210.6133,203.6971,181.70921,174.23573,169.00995,166.237,159.06958,162.85095,149.85146,139.815,134.87708,131.48378
252,183.28979,185.52078,210.6525,203.7666,181.70471,174.2646,169.05067,166.24728,159.07224,162.80138,149.80855,139.81923,134.85458,131.4153
253,183.83397,185.83823,210.7867,203.7683,181.67546,174.27136,169.01076,166.22765,159.02266,162.78952,149.80927,139.78963,134.78185,131.38733
254,184.30244,186.31548,210.7921,203.796,181.68849,174.32953,168.99023,166.20929,158.99847,162.78101,149.83531,139.82428,134.82216,131.34219
255,184.13689,186.69077,210.8318,203.842,181.66426,174.29625,168.998,166.25157,158.95555,162.76892,149.80878,139.8441,134.77541,131.36163
256,183.93555,186.82985,210.8719,203.9179,181.62492,174.30827,168.94182,166.23262,158.9088,162.76053,149.76599,139.8414,134.76729,131.36887
257,183.60928,187.14285,210.8718,203.9243,181.60866,174.30354,169.01749,166.21739,158.90479,162.72256,149.71965,139.8418,134.69507,131.32642
258,183.75931,187.76355,210.9059,203.9534,181.54283,174.28024,169.005,166.12778,158.84633,162.69769,149.68846,139.80157,134.70099,131.31062
259,184.11459,188.06598,210.9415,204.0057,181.55705,174.3015,169.02826,166.17386,158.8443,162.62659,149.6927,139.79895,134.62769,131.2159
260,183.69295,188.16438,210.9785,204.0414,181.60187,174.2877,169.00664,166.09598,158.80898,162.6346,149.67944,139.78853,134.60213,131.2326
261,183.04103,188.11336,211.0127,204.0709,181.61661,174.33145,169.02849,166.14645,158.77698,162.62622,149.67786,139.81435,134.60202,131.21939
262,183.00858,188.04636,211.06,204.1341,181.54529,174.28265,169.0177,166.05447,158.73593,162.5927,149.64552,139.75616,134.55463,131.17044
263,183.1055,187.81285,211.1183,204.1793,181.50612,174.27631,168.96049,166.04948,158.7442,162.59212,149.59486,139.77101,134.59424,131.09761
264,183.19521,187.34262,211.1348,204.2054,181.46114,174.24829,168.99535,166.04504,158.694,162.5379,149.64578,139.76662,134.55214,131.08153
265,183.12726,186.16431,211.1736,204.2262,181.44025,174.22964,169.00525,166.00812,158.68871,162.52243,149.63069,139.72131,134.49144,131.09204
266,183.37553,185.51102,211.2314,204.2631,181.40376,174.25731,168.95624,165.92381,158.64336,162.50374,149.58504,139.68828,134.52068,131.06465
267,184.01003,185.57811,211.2688,204.2648,181.38429,174.24144,168.90344,165.87636,158.62341,162.51811,149.62529,139.68082,134.48854,131.03992
268,183.74478,185.81447,211.3231,204.2965,181.44907,174.26151,168.91232,165.87189,158.60873,162.48705,149.62164,139.69902,134.48807,131.03442
269,183.2607,185.93216,211.3604,204.3268,181.41484,174.21977,168.87456,165.82304,158.55992,162.44826,149.59602,139.60861,134.44974,131.00575
270,183.44336,185.95412,211.3927,204.3449,181.4299,174.27966,168.85829,165.81688,158.51724,162.4509,149.59438,139.5907,134.48596,131.02475
271,183.79739,186.22325,211.4822,204.427,181.40787,174.29892,168.89618,165.82138,158.51956,162.4034,149.61633,139.59758,134.49271,131.01019
272,183.72784,186.68506,211.5231,204.4299,181.33975,174.24306,168.79285,165.76706,158.47978,162.33894,149.51541,139.49493,134.45439,130.94772
273,183.22279,187.12892,211.5767,204.4578,181.34633,174.25256,168.82347,165.78868,158.50331,162.36368,149.57262,139.51416,134.45219,130.98061
274,182.76633,187.1178,211.65,204.478,181.32584,174.20145,168.83121,165.78781,158.52058,162.38289,149.56763,139.46028,134.44826,130.97664
275,182.79465,187.26936,211.7021,204.5257,181.26918,174.16489,168.77275,165.75838,158.52838,162.39639,149.54659,139.44728,134.47385,130.97598
276,182.90749,187.38925,211.7504,204.5538,181.28506,174.14391,168.79077,165.74046,158.54832,162.40179,149.58026,139.44226,134.46312,130.92448
277,182.44147,187.22182,211.7892,204.5687,181.23051,174.12314,168.73701,165.67014,158.56302,162.40984,149.549,139.40981,134.45515,130.91394
278,182.72861,186.90767,211.8454,204.6153,181.26892,174.06258,168.74129,165.67889,158.58513,162.42592,149.55286,139.39189,134.45726,130.91437
279,183.65645,186.02876,211.8696,204.6259,181.23376,174.00444,168.69478,165.65692,158.61394,162.44829,149.55208,139.38127,134.48108,130.95
280,183.12271,185.03598,211.9203,204.6295,181.26942,173.95813,168.6846,165.67415,158.67313,162.41519,149.61198,139.39742,134.50467,130.97392
281,182.89627,185.18835,211.9611,204.6775,181.3087,173.97775,168.69992,165.76096,158.69958,162.41971,149.58113,139.39427,134.48222,130.99274
282,182.97795,185.30161,211.9578,204.6828,181.26201,173.88034,168.63297,165.70853,158.7305,162.37405,149.56061,139.37328,134.4975,130.9243
283,183.60323,185.6087,211.9811,204.742,181.25262,173.88228,168.63591,165.70885,158.77559,162.36862,149.53328,139.39005,134.50096,130.94057
284,183.38281,185.77139,212.0095,204.7326,181.19582,173.91052,168.65355,165.72433,158.78575,162.36555,149.51231,139.38556,134.56429,130.90796
285,182.78427,185.8376,212.0481,204.7533,181.19032,173.90179,168.66913,165.69724,158.7666,162.38351,149.53722,139.38873,134.57225,130.94659
286,182.26189,186.00655,212.1127,204.8098,181.17874,173.91232,168.69595,165.75671,158.75224,162.39079,149.50557,139.42468,134.60655,131.01761
287,181.96684,186.44885,212.117,204.7869,181.16086,173.84299,168.67552,165.72679,158.72554,162.3448,149.44014,139.37943,134.58728,131.02365
288,181.70528,186.59653,212.1319,204.7861,181.13205,173.84332,168.69336,165.72731,158.76752,162.38885,149.44591,139.37515,134.64113,131.00056
289,181.68213,186.38374,212.1991,204.8394,181.15144,173.81831,168.76402,165.71893,158.76642,162.41412,149.49025,139.42484,134.71233,131.03922
290,182.62427,186.33061,212.1785,204.8185,181.11574,173.80023,168.66068,165.67459,158.73676,162.40692,149.44661,139.39807,134.71565,130.98322
291,183.27208,186.28,212.1993,204.8291,181.11612,173.81602,168.65875,165.74704,158.77827,162.45657,149.39676,139.37614,134.72079,131.12193
292,182.84966,185.94637,212.1992,204.805,181.10382,173.82051,168.6749,165.78841,158.79405,162.43092,149.47882,139.35901,134.75632,131.18593
293,182.60739,185.3925,212.1785,204.7605,181.1405,173.78606,168.60779,165.75719,158.80576,162.43474,149.46878,139.32051,134.76511,131.16719
294,183.02782,184.93404,212.2339,204.7744,181.16766,173.83043,168.62111,165.7673,158.8371,162.40639,149.43062,139.36537,134.79344,131.2206
295,183.56927,184.9756,212.2663,204.7556,181.12943,173.82384,168.55479,165.76584,158.86635,162.41412,149.4462,139.3566,134.80276,131.26799
296,183.13409,185.27567,212.2525,204.6986,181.14796,173.81674,168.5361,165.75406,158.87779,162.4127,149.47952,139.38701,134.84946,131.2728
297,182.29932,185.83463,212.2618,204.6585,181.17543,173.78268,168.58717,165.74744,158.85286,162.37999,149.51508,139.35286,134.83636,131.29814
298,181.74222,186.19012,212.2834,204.627,181.14079,173.77232,168.57841,165.77716,158.87352,162.40607,149.57799,139.40846,134.83954,131.35344
299,181.32549,186.34538,212.2852,204.5654,181.19466,173.79506,168.58455,165.79591,158.89111,162.37689,149.56592,139.36868,134.8381,131.38722
300,181.11835,186.45444,212.2862,204.5548,181.24358,173.79895,168.54474,165.7401,158.88193,162.4248,149.58049,139.39983,134.87453,131.37759